company;date;date_month;date_year;code2;setor;subsetor;name;Ativo Total;Ativo Circulante;Passivo Total;Passivo Circulante;code;freq;shares;net_revenue;net_profit;growth_profit;net_equity;net_revenue_12;net_profit_12m;ativo;cl;ebit;roe;net_margin;eps;bvps;d/e;divida_bruta;disponibilidades;divida_liquida;Estoque;carteira de credito;depositos;receita de servi
BRKM6;31/12/2014;12;2014;BRKM;Basic materials;Chemicals;BRASKEM;49421750.27;14761198.59;49421750.27;14083292.16;BRKM6;15;797266;11611692.03;61282;-0.77219;6038882.816;46031389;864064;49421750.27;1.05000;844018.656;0.14;0;1.08;7.57;3.37000;20336561.02;4083088.104;16253472.92;5437133.92;;;
BRFS3;31/03/2014;3;2014;BRFS;non-cyclical consumption;processed food;BRF Foods;31982657.54;13086094.34;31982657.54;7809448.96;BRFS3;12;872473;7338812.928;315448;0.51335;15121534.64;30651163;1019344;31982657.54;1.68000;678905.04;0.07;0.01;1.17;17.33;0.66000;9927676.16;3856683.968;6070992.192;3056320;;;
BRFS3;30/06/2014;6;2014;BRFS;non-cyclical consumption;processed food;BRF Foods;33298980.86;14333748.22;33298980.86;8703970.304;BRFS3;13;872473;7690826.752;267069;-0.15337;15092784.82;30816542;1077975;33298980.86;1.65000;798107.992;0.07;0.01;1.24;17.3;0.69000;10355336.19;5108505.984;5246830.208;3153571.072;;;
BRFS3;30/09/2014;9;2014;BRFS;non-cyclical consumption;processed food;BRF Foods;33792092.16;14772142.08;33792092.16;8285249.024;BRFS3;14;872473;7981095.936;624271;1.33749;15339760.12;31219188;1415231;33792092.16;1.78000;1106786.952;0.09;0.02;1.62;17.58;0.70000;10745795.07;5345792.256;5400002.816;3469361.92;;;
BRFS3;31/12/2014;12;2014;BRFS;non-cyclical consumption;processed food;BRF Foods;36103737.34;17488244.74;36103737.34;9569126.4;BRFS3;15;872473;5996108.288;1018248;0.63110;15590477.04;29006844;2225036;36103737.34;1.83000;1307059.024;0.14;0.04;2.55;17.87;0.74000;11589335.04;6594422.208;4994912.832;2941355.008;;;
BPAC11;31/03/2014;3;2014;BPAC;financial;financial intermediaries;BTGP BANCO;122395303.9;90580033.54;122395303.9;84133519.36;BPAC11;12;2714902;659828.992;935652;0.16465;13007338.5;1443646;3096011;122395303.9;1.08000;;0.24;0.65;1.14;4.79;0.00000;;;;;5033405.952;21406184.58;209107.008
BPAC11;30/06/2014;6;2014;BPAC;financial;financial intermediaries;BTGP BANCO;114327248.9;74653810.69;114327248.9;68000329.73;BPAC11;13;2714902;1067377.984;871121;-0.06897;13425118.21;2427848;3224942;114327248.9;1.10000;;0.24;0.36;1.19;4.94;0.00000;;;;;5418310.144;20646705.92;278611.008
BPAC11;30/09/2014;9;2014;BPAC;financial;financial intermediaries;BTGP BANCO;135283933.2;96495329.28;135283933.2;84565671.94;BPAC11;14;2714902;-1111838.976;803742;-0.07735;14220829.7;836932;3413894;135283933.2;1.14000;;0.24;0.96;1.26;5.24;0.00000;;;;;7077043.2;23190599.68;263234
BPAC11;31/12/2014;12;2014;BPAC;financial;financial intermediaries;BTGP BANCO;152774819.8;113685159.9;152774819.8;102207021.1;BPAC11;15;2714902;-1451676.928;757638;-0.05736;14678861.82;-836309;3368153;152774819.8;1.11000;;0.23;-0.91;1.24;5.41;0.00000;;;;;7297528.832;23885644.29;241935.984
BPAC5;31/03/2014;3;2014;BPAC;financial;financial intermediaries;BTGP BANCO;122395303.9;90580033.54;122395303.9;84133519.36;BPAC5;12;2714902;659828.992;935652;0.16465;13007338.5;1443646;3096011;122395303.9;1.08000;;0.24;0.65;1.14;4.79;0.00000;;;;;5033405.952;21406184.58;209107.008
BPAC5;30/06/2014;6;2014;BPAC;financial;financial intermediaries;BTGP BANCO;114327248.9;74653810.69;114327248.9;68000329.73;BPAC5;13;2714902;1067377.984;871121;-0.06897;13425118.21;2427848;3224942;114327248.9;1.10000;;0.24;0.36;1.19;4.94;0.00000;;;;;5418310.144;20646705.92;278611.008
BPAC5;30/09/2014;9;2014;BPAC;financial;financial intermediaries;BTGP BANCO;135283933.2;96495329.28;135283933.2;84565671.94;BPAC5;14;2714902;-1111838.976;803742;-0.07735;14220829.7;836932;3413894;135283933.2;1.14000;;0.24;0.96;1.26;5.24;0.00000;;;;;7077043.2;23190599.68;263234
BPAC5;31/12/2014;12;2014;BPAC;financial;financial intermediaries;BTGP BANCO;152774819.8;113685159.9;152774819.8;102207021.1;BPAC5;15;2714902;-1451676.928;757638;-0.05736;14678861.82;-836309;3368153;152774819.8;1.11000;;0.23;-0.91;1.24;5.41;0.00000;;;;;7297528.832;23885644.29;241935.984
BPAC3;31/03/2014;3;2014;BPAC;financial;financial intermediaries;BTGP BANCO;122395303.9;90580033.54;122395303.9;84133519.36;BPAC3;12;2714902;659828.992;935652;0.16465;13007338.5;1443646;3096011;122395303.9;1.08000;;0.24;0.65;1.14;4.79;0.00000;;;;;5033405.952;21406184.58;209107.008
BPAC3;30/06/2014;6;2014;BPAC;financial;financial intermediaries;BTGP BANCO;114327248.9;74653810.69;114327248.9;68000329.73;BPAC3;13;2714902;1067377.984;871121;-0.06897;13425118.21;2427848;3224942;114327248.9;1.10000;;0.24;0.36;1.19;4.94;0.00000;;;;;5418310.144;20646705.92;278611.008
BPAC3;30/09/2014;9;2014;BPAC;financial;financial intermediaries;BTGP BANCO;135283933.2;96495329.28;135283933.2;84565671.94;BPAC3;14;2714902;-1111838.976;803742;-0.07735;14220829.7;836932;3413894;135283933.2;1.14000;;0.24;0.96;1.26;5.24;0.00000;;;;;7077043.2;23190599.68;263234
BPAC3;31/12/2014;12;2014;BPAC;financial;financial intermediaries;BTGP BANCO;152774819.8;113685159.9;152774819.8;102207021.1;BPAC3;15;2714902;-1451676.928;757638;-0.05736;14678861.82;-836309;3368153;152774819.8;1.11000;;0.23;-0.91;1.24;5.41;0.00000;;;;;7297528.832;23885644.29;241935.984
CCRO3;31/03/2014;3;2014;CCRO;Bens industriais;Transport;COMPANHIA DE CONCESS?ES RODOVI?RIAS;14899677.18;2460071.936;14899677.18;3753799.936;CCRO3;12;1765587;1566850.048;343095;0.11982;3738093.984;6273056;1357417;14899677.18;0.66000;655106.976;0.36;0.05;0.77;2.12;2.31000;8649134.08;1783414.016;6865720.064;0;;;
CCRO3;30/06/2014;6;2014;CCRO;Bens industriais;Transport;COMPANHIA DE CONCESS?ES RODOVI?RIAS;15260872.7;2345848.064;15260872.7;3768289.024;CCRO3;13;1765587;1792236.032;275762;-0.19625;3874527.008;6662654;1328744;15260872.7;0.62000;564716;0.34;0.04;0.75;2.19;2.30000;8908274.944;1690126.976;7218147.968;0;;;
